Indicator,Geographic area,2023/01,2023/02,2023/03,2023/04,2024/01,2024/02,2024/03,2024/04
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,12 Guerrero,3706,1162,1779,1355,3031,5659,2813,985
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,13 Hidalgo,4141,2313,2005,3427,821,765,1577,3173
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,14 Jalisco,7503,13980,13205,8497,4189,8431,6215,7076
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,15 México,15345,18365,15780,42593,15586,15623,25033,17180
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,16 Michoacán de Ocampo,2699,8288,3196,1915,3449,3823,3781,4989
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,17 Morelos,804,781,798,652,733,585,418,111
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,18 Nayarit,704,1669,1445,2096,2471,1775,2838,2330
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,19 Nuevo León,22315,19358,25596,31453,18446,15703,24497,13462
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,20 Oaxaca,2242,2123,748,3001,2770,1216,745,1103
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,21 Puebla,2800,6557,5333,4525,4679,2472,3753,2628
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,22 Querétaro,1947,3446,3412,3421,3522,3054,4324,4827
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,23 Quintana Roo,1789,3509,2911,5425,1716,2340,2958,2994
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,24 San Luis Potosí,3896,2949,7331,3512,4070,3749,2366,5043
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,25 Sinaloa,7555,6649,8182,9741,5331,4691,4188,5304
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,26 Sonora,3851,4123,5444,5114,4034,1002,3582,3851
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,27 Tabasco,2783,2487,5467,3903,3026,1851,2071,1545
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,28 Tamaulipas,3901,6347,4968,3734,1565,2004,3362,3401
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,29 Tlaxcala,929,1404,702,928,647,659,902,1096
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,30 Veracruz de Ignacio de la Llave,11142,3575,7455,4648,7743,3971,5077,5413
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,31 Yucatán,4669,5691,4679,5985,4386,4304,4956,4009
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 5 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,32 Zacatecas,812,1660,737,719,1554,1277,870,255
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,00 Estados Unidos Mexicanos,2918301,2985916,3141390,2982491,2778227,2752998,3075992,2800442
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,01 Aguascalientes,10306,14974,14222,10727,11705,13185,11872,10261
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,02 Baja California,16745,16076,21994,24182,16911,19043,16597,13680
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,03 Baja California Sur,3942,6476,6912,8872,11052,5128,8308,4294
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,04 Campeche,31348,31696,31508,27489,29973,27224,30442,27240
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,05 Coahuila de Zaragoza,17049,22169,21869,24063,18690,23210,19372,19653
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,06 Colima,11698,10143,12411,10397,10637,8940,10059,8205
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,07 Chiapas,303527,297661,324223,293920,260458,245675,251946,260970
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,08 Chihuahua,28067,27746,21777,19801,18536,21810,39977,26067
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,09 Ciudad de México,70906,70243,90867,74802,124505,94654,102774,89309
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,10 Durango,27807,32191,40838,31906,32624,23474,28459,29213
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,11 Guanajuato,93827,99358,141403,113924,94583,98203,105187,88072
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,12 Guerrero,330177,354761,408032,409069,312907,333370,382070,347522
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,13 Hidalgo,87095,97565,91957,89452,99857,97090,122902,113664
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,14 Jalisco,118948,107796,101665,83689,105075,87735,81730,84296
